3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
you eat it.,what's that.,what's this.,yeah it's a little birdie.,look at those.,oh.,let's go.,wanna take a look at the car.,and it's a very nice room.,what's that.,wanna take your car to the store.,right.,I don't have one.,we'll go play with them.,there.,cats eat mice.,oh the cat's all over her face.,it's called a stapler.,yeah it's your room.,and you'll see that dad and mommy are doing their part.,do you know what it's called.,there are dogs.,it's called a kitten.,you have another one.,and there's another one over there.,we're gonna be going out and get some ice cream.,a bird.,that's a rabbit.
mama's cooking.,okay.,I'm making a family portrait.,little birdie.,I guess you're gonna play with them all day.,you gotta get out of here.,you wanna go.,and the steering wheel.,go get my coat.,it's a car.,okay.,what kind of a dog.,what's the name of this little animal.,he is a good boy.,where's the stairs to the bedroom.,that's a kitty.,oh that's a cat.,I don't think she's ready for a bicycle.,can we go inside.,it's a good idea to have a big family.,I don't know what this is.,what's that.,do you want to go out and play with her.,here you go.,that's a dove.,you want to take your stuffed bunny with you.,there's a bird there.,you like cows.
you got some.,you want to eat this.,yeah.,what's that.,yeah.,yes that's right.,what's that.,I have a car.,okay.,yeah you gotta put it in the seat first and then you can put the people in there.,"okay, how's that working.",yeah that's a doggie.,and I think she might be a pig.,it's a black dog.,it's on the top of the stairs.,so here's a big cake and here's a little cake.,they both have a long nose.,you can make some and you can share them.,do you think this is a good place for a house.,it's a good idea.,do you see that car.,what kind of dog is this.,the cats are all sitting on the chairs.,this is for the baby.,what's that?,is that a bunny.,he says.,no you put it in your mouth and then it goes up your nose and then you get a cough.
mmmm.,that's a nice picture.,you're gonna have to keep your eyes peeled for that one.,that's a bird.,yes you can.,mashed potatoes.,that's the door.,yeah.,you want a new house.,a car.,oh.,yeah I think so.,it's not a puppy.,okay you're a little bit bossy.,the house is falling down.,you could go to the pet store and get some cat food for your cat.,do you want to look at it for a little while.,you know what? you're right.,and then you're gonna go downstairs.,well we have three people in our family.,and a truck.,do you have a dog.,it's a cat.,okay.,yeah.,you can see it eat the grass.,it's a pigeon.,right.
no we can't eat that.,yeah.,yeah you're the one who's gonna get it.,bird.,this is a teddy bear.,and we're going to have a cupcake.,okay.,you're gonna have to wait a little bit longer.,okay.,can you say car.,hey.,okay.,no.,oh a dog.,what is this.,what's that.,yeah he's not playing with the ball.,oh that's a nice one.,yeah.,okay.,it's a truck.,you're going to get some cookies.,they're so cute.,no.,the bird is a hawk.,oh.,there's a bird there.,you see he's a little turtle.
mhm.,hm.,let's see.,bird.,go to the train set.,that's a cupcake.,the floor.,you want to go inside and play with it.,the door opens.,oh that's cool.,what's that.,look at that cute dog.,where are you going.,it's called a chihuahua.,who is that man?,see this.,they're cats.,I think she's your sister.,yeah you know it's a little different.,yeah.,they're in the garage.,yeah.,that's right.,the ball.,you're a bird.,we're going to have a tea party with our rabbits and hamsters.,it's a little bit cold and wet and the little birds don't like it either.,you think the lion's name is lion.
you want a bite.,okay.,do you want a cookie.,oh it's a bird.,okay.,you're gonna eat it.,we're going to go to the bathroom.,you can't drive the car.,okay you want to play with that.,he's in the car.,okay let's go back to the car and make it look nice.,look at the dog.,there are some animals here.,right.,"I'm gonna get you a little shoe, and then we'll go get some ice cream.",and the cats and the dogs all come out.,what's that.,there.,I'm gonna show you a photo of our house.,yeah he's getting a lot of toys.,you think the car's gonna be okay.,can you say doggie.,there's a cat in there.,okay.,we're going to get some birdseed.,that's not an animal.,we're gonna go and look for some birds.,we're going to make them a nice house.
okay.,good girl.,here's another.,what's that.,oh.,what's that.,oh.,he's gonna give us a ride on the train.,and then we go in.,and what else.,that's a truck.,you're a dog.,it's the same thing we just said.,yeah he's a little dog.,you're not going to say it.,we're going to the park today.,that's a kitty.,it's like this.,okay.,oh.,and then you turn it off.,oh the dog.,what's that.,oh.,a. bird.,we'll go to the zoo.,uh.,"that's a big, red tomato."
that's right.,yeah.,yeah.,a bird.,I don't see a ball.,it's gonna be really fun.,okay.,go bye.,come on.,do you want to put it back on.,see the car.,well he has a little black collar on his neck.,wow.,oh.,oh.,oh he's a cat.,okay.,and then it's a really good day.,you're very right.,yeah I'll tell you.,oh car.,he's sleeping in his doghouse.,and it goes in the water.,you can make a little house.,he was a robin.,this one's a giraffe.,there's one there.,the dog.
look at these.,he's a good boy.,where did we go to.,oh my gosh.,can you show me how to play with this.,here's some water.,oh that's your house.,no.,let's look at the picture.,that's a car.,well look what we've got.,the dog's name is Max.,it's so good.,do you like the dog.,do you remember the house.,no.,where is the cat.,I think that's his sister.,we got a nice house.,you can do that.,a car.,where's the dog.,he's sleeping.,and then you play with them.,this one's a turkey.,the kitten is gonna play with the ball of yarn.,look at that bird.,you want the rabbit.
wanna eat something.,yogurt.,oh look at that.,yeah he's a duck.,they're.,and put that in there.,let's go inside.,you wanna see the back of the car.,the kitchen.,do you see a car.,and go over the bridge.,okay.,you wanna play with that.,you're such a good baby.,so we're gonna go up to the attic and we're gonna see what we can find in there.,look at the cat's whiskers.,come here.,okay I'm gonna put it back and we'll go find Daddy.,you're right.,okay what's your brother's name.,and this is the back of the car.,you know he's the one that he's going to take the picture with.,can you put the cat on your hand.,okay.,I don't know what that is.,what's that one.,the baby bird is learning how to fly.,so we've got an octopus.
yeah.,what's that.,and then they sit on a stool and look at each other.,yeah.,yes.,what are you eating.,can we get the bouncy ball.,yeah that's a car.,you need a new one.,you're going to need a new battery.,you get in and we're gonna go.,oh you're right.,they're not there.,I'm not sure.,look at the lights.,that's a cat.,oh oh.,okay now let's see.,he's gonna be in a big house with a lot of space.,oh.,I'm gonna get you a car.,it's a puppy.,the cat is sleeping.,okay.,no you don't need it.,right.,bird.,I think it's a cat.
I'm not going to say.,mmmmm.,oh my gosh.,what's that.,that's my car.,well you could make it a little smaller and put some in it.,the bedroom.,that's a car.,oh I see the stairs.,oh you want me to take off the carpet.,they're a little different.,he's a big yellow dog.,do you like animals.,he has a bumpy head.,you can't have that house.,here's a nice kitty.,see it's a little fur ball.,so you have a sister.,what's it called.,you know I really like you.,that's right.,this is a dog.,oh yeah that's a cat.,you like that truck.,the baby bird's nest.,it's a little bit of a turtle.,what's that.,oh those two are nice and nice.
well that's good.,"no, no.",yes he was.,look at the bird.,look at the cow.,it's your turn to feed the kittens.,and a big yellow house.,we're going to get on the car.,what's the big one.,oh.,I'll just go to the garage and get it.,where's that.,do you know what that is.,what's his name.,who's that.,we'll see.,and then I'll get it cleaned up.,oh yeah.,hey.,can we get you a book to read.,that's a very good car.,what are you gonna do.,oh that's right.,you like playing with the blocks.,they're all flying.,and you're playing with the doll.,oh the bird.,I see a chick.
it's a little bit of water.,what is this.,what's that.,hey.,ball.,wow.,let's go outside.,you wanna go for a drive in this car.,it's the big one.,and it's a car.,can you say car.,wanna see what's in here.,there's a cat in the house.,he's got a big pink nose and he has a blue collar.,it's like a tiny house.,you're right.,well we're gonna give her a bath.,she's my cousin.,no.,okay.,let's go outside and sit in the car.,there's a dog in this room.,you got a kitty.,it's a little bit of a mess.,yeah birds are really big.,we'll call that a.,there are birds in the trees.,there's another one.
there's a bird outside.,bird.,I'll put them in your box.,there's a bird.,a bird.,that's right.,that's a squirrel.,oh yeah.,who's that person.,wow.,I think I'm going to put the puzzle in my purse.,yeah.,the couch is a piece of furniture.,you're gonna see them later.,the kitten is napping.,yeah you can put that in there.,we're not going to be eating that.,no no no no.,I'm gonna put it back in the box.,you wanna go get a car.,and I think the cat is very old.,a pink and blue train.,you gonna play with them.,oh they're out of the way.,can you get the cheese.,okay you can give it to me.,and it's a cat.,no no.
there's a bird.,here's a bird.,here's a little car.,that's a bird.,yeah.,there's a doll.,we'll have a couple more minutes with the cows.,yes.,oh my goodness.,I'm sorry I can't make it.,okay.,come on.,we're going to get some more furniture to make this room bigger.,yeah you know.,it's a cat.,right.,well that's interesting.,a kitty cat.,where did the ball go.,what's that.,oh no.,I mean it.,hmm.,yeah.,the peas are kind of mushy.,oh it's so good.,that's a cat.,I think you want to see what's in it.
oh look.,there's a bird.,there's a little toy.,you wanna see a bird.,I love birds.,put them in.,okay.,that's my son.,you can sit on the carpet and we can look at your pictures.,what's this one called.,and you can make up your own stories about it.,you know what.,we're gonna have to wait until tomorrow.,that's right.,and he said okay.,they're so adorable.,here's some apple juice.,and the kitty goes and the kitty goes.,it's a doll.,okay.,yeah.,do you want to play with some blocks.,so you're gonna get all the pieces.,what's that.,there's a picture of a potato on that.,it's a fuzzy ball.,that's a cat.,we'll have some.
you see a bird on a branch.,bird.,okay.,there's a bird.,this is a bird.,look at the ducks.,that's a big lion.,can you see the car.,so you can play with a toy that's not gonna fall down.,what's that.,what's that.,you'll have to take him to the vet.,you have to wash your hands before you go to bed.,and then we go to the candy store.,do you think cats are cute.,where are the fish.,they're pizza.,there's a kitten that's been out and about and she's not sleeping at all.,he's sitting in the chair with the ball.,car.,cats go in trees.,yeah.,you'll love these.,can you turn on the light?,what's that.,the two little birds.,huh.,well it's not a cup.
he's got a little blue bird.,oh look a bird.,they're toys.,it's a hawk.,that's a penguin.,you want some more.,right.,are we going to put some music on.,that's right.,I'm going to open the box.,do you want to put them away.,that's right.,you can put a potted plant in the window.,oh you're right.,yeah it's a little boy.,here's one.,can you put it in the fridge.,see that big orange cat.,look.,see the car.,that's the cat.,this one's a red one.,oh those are the same ones you got last year.,that's the toilet.,oh we have some bananas.,do you want to play with a truck.,oh look a cat.,you don't want to touch that.
look at that bird.,little bird.,oh.,look at the bird.,wanna put the bird back in the book.,can you show me the dinosaur.,oh.,oh that's not a good way to get rid of a crayon.,we're gonna go and see.,do you remember the kitty.,what kind of cars.,wanna see the dog.,I think that's a chair.,no.,so there's a kitty and a baby.,there's a rabbit in there.,so how about you eat the rest.,he's gonna sit on the bed and play with the ball.,there's another one.,you wanna get in there.,it's a cat.,what.,that's a toy truck.,yeah it's not.,what.,you're playing with a train.,it's kind of like a house cat.,okay so the next step is we're gonna go ahead and put the water in the saucepan.
that's a bird.,yeah.,that's a truck.,what's that.,and a duck.,you're gonna put them back on the box.,what's that.,that's right.,do you see your mom.,and there's a truck.,that's right.,and then the dog runs to you.,oh you're on the porch.,where are they.,it's a very big cat.,okay what's this.,yeah.,you have a big cat.,okay.,what's this.,you can do that.,oh look what we have here.,here's one and there's another one.,oh I see.,and I'm going to give you a little taste of this.,here's a ball.,he has a tail.,okay.
it's a little birdie.,there's a bird.,see the bear.,and they have wings.,see the blue sky.,this is a ball.,oh it's a giraffe.,where's your brother.,and you get to bring your family to the park.,you're gonna get a new one.,I'll get them in a minute.,oh my gosh that's a funny dog.,and then she can open it.,who's the oldest.,she's a kitty kitty kitty.,yes.,and we got the hamburger buns and the cheese and the chicken and the lettuce and the tomato.,that's right.,I don't know what it is.,do you have a car.,she doesn't wanna go out.,oh my gosh.,that's a very old teddy bear.,it's a really nice house and we live in it.,we got some new chocolate.,and the truck is a big truck.,oh.,do you want some more.
bird.,what bird is that.,this is a toy car.,we're going to get one.,wanna sit down.,he has a box.,okay.,okay.,what's your mommy's name.,okay.,a baby.,do you wanna put that on the bed.,oh what's that.,that's a nice shirt.,there's a cat.,do you like the pig.,okay.,he's trying to get your attention.,where's that one.,oh look at the car.,and the cat is very cute and she's very pretty.,let's play with the cars.,okay now let's go through and see what's in the cupboard.,oh my gosh.,"no, no.",okay.,oh.,right.
and the bird is flying.,what is that.,can you pick it up.,that's a bird.,you can't see him.,what is this?,a moose.,yeah you're right.,oh we are going to have a party.,wanna play with this.,can you put that in your pocket.,look at the dog.,that's the table.,who is he.,oh.,and that's a bull.,yes I see.,yeah.,and this is the red and blue one.,and that's a car.,cats are really fun.,a dinosaur.,oh.,you don't want to touch that.,right.,this is for the car.,that's a kitty.,he was at the bakery.
you want a bird.,hey look at the little birdie.,there you go.,there's a bird on the fence.,yeah.,we don't need it.,what is that.,so I'm sorry that you were sick.,the.,wow.,you got a green truck.,no it's not a dog.,oh the house is so nice and pretty.,and he's gonna bring some books for him.,so that's the cat.,and the pigs and the horses.,it's a cereal.,that's right.,see.,okay.,oh that's so sad.,right.,we'll take turns.,it's a door.,what do we have in the fridge.,we're gonna play with it.,yeah the cat.,do you want a glass of milk.
look at that little birdie.,there's a bird.,you're gonna be a doctor.,a duck.,what's that.,yeah.,the cat is in the bathtub.,he's the one that you say we need to go to.,I know I can't say it because he doesn't say it.,where's the bear.,the red cape is in the closet.,oh look at the dogs.,and there's another house right there.,and the car went to the gas station.,cats.,well it's a duck.,they're just tiny.,what's that cat doing.,there's another train.,go get some.,here's a kitty.,okay.,here's your stuffed toy.,do you know what it's called.,yummy.,this is a little kitty cat and that's a little kitty cat.,I'm a cat.,you can make it with a fork.
bird.,look at that bird.,what's that.,bird.,birdie.,uhhuh.,what's that.,and what's that.,okay let's see if we can find the right one.,put them back on.,right.,do you know what we have on our hands?,oh you did not put the dish in the dishwasher.,I love you.,he's a little cat.,this is a little bear.,I'm going to put this on the stove.,and cats eat cat food.,and it's really funny.,I'm gonna put the car away.,oh that's a nice cat.,yeah you're going to have to have some room.,right.,we're going to clean up the house.,and he's eating a sandwich.,oh you want to take it back to the playground.,it's a cat.,what's it called.
here's a bird.,that's a bird.,they're in your room.,a bird.,look at that birdie.,here we go.,yeah that's right.,you can put them in the garbage.,you want to get it out of the way.,there's a little green fish there.,oh look.,they're barking.,hey baby.,who is this little boy.,oh where's the cat.,oh yeah.,what do you think.,we'll have to get a carrier.,well maybe it's for you to put them back in their box.,let's go.,a cat.,what's this?,yes.,you know you're going to put it on the chair.,do you like to eat the sandwich.,yeah you can take them back.,yeah I mean it's a cat.,the pineapple.
bird.,there's a bird in the sky.,can you say ball.,there's a bird there.,what is that bird.,that's a ducky.,oh look what a nice pig.,I'm not sure.,yes.,I see.,where's the toy.,where's the dog.,I'll go to the kitchen and get you something to drink.,I don't know who that is.,and the kitty cat was a baby kitty cat.,okay.,I think they're a lot better than they used to be.,I don't think the cat is playing with it.,okay.,oh.,he's just a little kid.,oh I can see some of your toys.,okay.,where's the car.,I'm going to go look for you.,and I guess it's your turn to make up some stories about them.,there's a cat in the window.,okay.
and a bird.,look at the bird.,do you wanna play with this.,look at the bird.,that's a chick.,and you know what.,look at the big cow.,there's a book.,he's got a little brother.,and he's sitting on his seat.,here we go.,oh we got a puppy.,you need to clean the floors.,we'll get some food.,the kitty's not a cat.,we'll take the horse.,I'm going to take a bite of your cookie.,and what's this one doing.,yeah.,he's going to fix the car.,I wonder if it's a cat or a kitty.,what do you think of it.,oh.,oh there's a house.,this is a cereal bar.,yeah.,it's okay.,a little bit of water.
we gotta get a book about birds.,bird.,a ball.,what's that.,this is a bird.,can you find the crayons.,and there's a cow.,hey.,the cat said to the dog.,what's that.,yeah.,and you want to do what with the doggie.,hey.,and then you can give the gift to him.,oh the cats like to play with this.,oh.,no.,it's a cat.,we'll go see if we can get them.,they're going to take a little nap.,what kind of animal is that.,you're doing great.,that's right.,we're going to the bathroom.,I gotta wash it before I eat it.,this one has a car.,there's a cat in the house.,she's got her eyes on that bowl.
wow.,that's a penguin.,who's got the ball.,bird.,and birds.,oh look.,no.,you can draw a picture of it.,the people who live in your family.,this is a car.,there's the yellow car.,this is a dog.,they are there.,oh yeah.,what's that.,where's the rabbit.,that's a great idea.,a big black cat.,you put it on the floor.,and then they're going to turn around and drive.,that's a cat.,oh that's okay.,and it's got like a little piggy tail on the end of it.,and the garage.,what did she have for breakfast.,that's the little man.,oh.,and he's eating some chocolate ice cream.
little birdie.,he's a robin.,this is a train.,you've got a birdie.,there's a bird on the bird feeder.,where is the ball.,and it's like a piggy bank.,he's got a new job.,you can't have more than two.,I'm gonna go over there and play with them.,are they.,there.,okay.,so what's in the living room.,that's a cat.,you want to go out and play with the dog.,uhhuh.,and they're cats.,this one has a stomach.,yeah they have some.,that's a kitty cat.,wow.,we have a toy truck and a car and a doll.,that's the light.,that's right.,you're gonna have to use the other one.,hey.,yeah.
it's a bird.,look.,yeah.,bird.,it's a bird.,uhhuh.,who has it.,and that's a good idea.,they have a dog.,he's so soft.,you got the green one.,oh what's that.,I'm going to the house to look for the shoes.,he's a big brother.,a cat.,can you hold them for me.,and you know what you want for breakfast.,they're called.,yeah it's all good.,yeah.,I'm not sure.,I'm so happy you're here.,here we go.,"hey, let's go see if we can find the duster.",you don't have any food.,okay.,it's a cat.,okay.
let's look at that car.,you wanna have some more.,it's a cat.,oh.,no no no no.,bird.,right.,let's look at that.,right.,no.,and we gotta take care of it.,are you gonna eat the whole thing.,we're going to get a bag of chips and we're going to get some snacks.,and a car.,I'll put that away for you.,well here's some chicken.,there's a dog in the house.,and then he'll have to get on a plane.,"oh wow, what a pretty cat.",you know what? it's called a birdie.,he's gonna be a great dog.,hmm.,it's a train set.,well you know what.,oh they're in the back.,you can get to the other side.,oh they look like kittens.,and mommy.
wow it's really fast.,peanut butter and jelly.,that's a cat.,they are both cute.,there's a squirrel and there's a bird.,do you see the little birdie.,yes.,no.,yes.,yes you're right.,they're like that.,the fish.,do you want some more crackers.,I'm sorry.,and this is the front.,yes.,I think we have a new one.,and we're going to go see a movie.,see a cat.,what's that.,oh it's a little girl dog.,I'm not gonna eat any more.,the ball is red and it's a ball.,he's driving his car.,that's not a car.,yeah.,well it's a little bit more complicated than that.,I'm glad you're happy.
"yeah, we gotta get that back.",yum.,look at the cat.,do you like animals.,that's a rabbit.,the birdie's sitting on a branch.,here's a book.,you get me one.,where's the car.,she's a baby.,here's a bird.,we have cheese and crackers.,yeah.,that's right.,that's a nice car.,yeah.,a little bit of red paint.,oh yeah.,he's the cat.,a bird.,and they're going to be in a cage and they're going to have fun.,you see that.,there.,that's a car.,and we'll go on the road.,oh I see.,this is the cat.,oh.
uh oh.,I'm going to give you some banana.,and he's a cat.,look at the little bunny.,wow.,oh no you broke the bird.,this is my crayons.,I mean this.,that's a ball.,she's gonna come.,you know.,oh you're just making a little noise.,you want to take a little bit of cereal.,uh-huh.,you're gonna have to turn the corner.,what is this.,oh.,you're not gonna eat it.,hm.,I don't think I have any of those.,yeah.,I don't like it when you sit down and eat my food.,hm.,you know we take the car to work.,can you help me push this car.,look at that.,she's not here.,oh I'll ask her.
what do we say.,whoa.,look.,the duckies were in the pond.,yeah.,look at the bird.,what's this.,well he's going to help you.,look at all the blocks.,I'll take your coat and bag.,you know that's a big bird.,I'm gonna make a salad and some soup.,no.,there's the car in the back.,this is a car.,I'm sorry.,yes.,yeah.,okay.,well you're very loud.,and he's just a little bit bigger.,did we get to eat the pancakes or did we have to wait.,yeah.,it's a car.,oh that's a nice car.,it's not a dog.,and you can use it to play with your cat.,there's no more room for me in your backpack.
look at the car.,the beans.,and then you'll get a kitty.,look at the bunny.,oh I can't do that.,yeah.,you know.,oh yeah.,oh yeah.,oh he's a good one.,we're gonna see a bird.,so they're on the plate.,the butter in the butter dish.,yeah.,where did you see the car.,uhhuh.,can you put the laundry basket away.,and now he's going to take him out and we're going to take him for a walk.,so we have a cat.,they fly around in the sky and they have a lot of feathers.,where is it.,this is a toy.,what's that.,what kind of car is that.,uhhuh.,yeah they are.,this cat is in a tree.,Mommy's gonna get a new wig.
yeah.,and they eat that.,look at the kitty.,what's that.,oh.,there's a bird.,whoa.,we need to put the trash out.,I think she's going to have a little fun.,no.,a robin.,he said.,well there's no sugar there.,you can say it and I'll put it on.,oh yeah.,the muffins are nice.,that's a house.,and then you go get a drink.,oh it's a kitty.,yeah he's a seagull.,oh this is a dog.,I'll get you some more.,we're gonna put them in the box.,and we're going to get a car.,I mean you have a car.,and that's a deer.,he's a cat.,well it's like a big circle.
there's a car.,there's some bread.,look at the kitty.,kittens.,let's get another bear.,and that's the bird.,you put them in there.,yeah you know what that's called that's the refrigerator.,here.,who is your mommy.,there's a bird on a tree.,it's green.,and it's delicious.,wanna see the car.,what's this.,you know what I'm saying.,can you say house.,"I'm sorry, we're not supposed to bring our dogs to your house.",yeah.,and it's going to go all the way down and then it's going to come back up and then it's going to come back down and then it's going to go all the way up.,you can give it a little nudge.,this is not a cookie.,can I have a ball please.,you don't like it.,oh.,and then we have a little mouse.,a kitty and a kitty.,oh okay.
come here baby.,what's this.,oh my gosh.,nope.,you can't see them but I can hear them.,that's a robin.,oh it's all right.,that's a nice house.,there's a little car.,who's that.,that's a parakeet.,this is a nice toy.,what's this one called.,and the car goes like this.,we're gonna go get a car.,we don't really need the other ones.,we don't need to put a blanket on the bed because it's warm in here.,oh.,okay.,you know what a bird looks like.,where's your dog.,I'm not sure why she's so upset.,you're gonna have to go back and do it again.,and it can go really fast.,wanna see it.,this is a fish.,we gotta put a blanket in the basket.,okay.
you wanna go.,we're gonna have some cheese.,come here.,the pig.,yes.,that's a cardinal.,this one is a ball.,and you'll make a fire.,oh my gosh.,yeah.,that's a birdie.,and we're going to cook it and put it in the oven and cook it and make it tasty.,do you remember what we had for breakfast.,you can see the wheels.,that's a truck.,no.,they don't like that much.,I'm not sure about that.,see the cat.,that's a hawk.,they're all dogs.,and the yogurt is the yogurt.,this is a toy truck.,where did you put the car.,okay you can't play with that.,the rabbit is very cute.,you want a kitty and a puppy.,"no, this is a family of penguins."
come on baby.,yes.,look at that.,he's a good boy.,what's that.,he's flying over the tree.,no no no no no.,look at the house.,"can you say ""papa.""",right.,and then the bird was sitting on the fence.,so you don't wanna eat.,yeah.,and the car comes down and they're driving.,see the car go by.,I'm sorry.,this is a big house.,okay.,so.,that's a red bird.,wanna go to the dog park.,so he can make the bun.,no.,you wanna go for a ride in the car.,the car goes like this.,and that was a very large cat.,so what happened.,oh yeah.
oh.,you're a good baby.,that's right.,and cows have four legs.,let's see.,what's that.,here we go.,here's where we keep the bath towels and the clean laundry.,we got to go outside.,you think so.,what kind of bird is that.,he's got a lot of yogurt.,yeah.,they're in the car.,uhhuh.,yeah.,and we can have fun and play together.,that's it.,they got a litter box.,well that's one of the baby birds.,what's that one called.,honey.,okay.,that's a car.,you can turn it on and turn it off.,and you can tell what animal that is.,the cat.,okay.
okay.,uhhuh.,it's a cute cat.,this is a cow.,look at the bunnies.,what is that.,you like to go in.,you can't have a bath and read at the same time.,wanna play with them.,I like to see Daddy's face when he's in a bad mood.,oh bird.,and some yogurt.,I can't believe you're actually eating that.,wow.,what's that.,what do you think they're called?,okay let's clean it up.,it's in your house and you know where it is.,okay.,we'll look at the birds.,you can tell it what to do.,I think you should take a nap.,I have a doll.,there are different kinds of cars.,a car.,yeah that's right.,that's right.,you're gonna see a lot of pictures.
okay.,it's good.,come here.,what's that.,you see that duck is on the water.,you see a birdie.,put the block on.,and then they're ready to go.,and this one's a toy car.,I'm sorry.,do you see that bird.,where's the cereal.,I'll make you some soup.,oh.,oh my goodness.,that's not in the fridge.,and we're gonna see what we can do.,no.,cats.,what's that.,look at the dog.,I think you just put the chicken in the microwave.,and that's the doll.,and it goes.,they're going to make you a car.,and then it will go back up again.,there's a little cat in there.,you're right.
here's the car.,yeah.,you're talking about the kitty.,this is a baby goat.,a frog.,wow.,look at the ball.,you can't go in the bathroom.,where's your blue ball.,oh.,you can't see them.,it's like a sandwich.,do you remember what it was that you had for breakfast this morning.,we go to the car wash.,I think you might have heard this one.,no they're not in the cart.,and you can also see some things that are a little bit dirty.,it's a big family.,it's just a cat.,that's a hawk.,this is a doggie.,we're going to the supermarket.,you got a toy train set.,and the car is blue.,let's go get the car.,wow.,oh okay.,you're talking about your uncle and aunt.
you wanna take it for a ride.,okay.,I'm thinking about a cat.,right.,bunnies are cute.,bird.,oh.,the house.,well what's that.,I'm going to read you some more stories.,a penguin.,it's called a hotdog.,you wanna get some of that.,okay.,you know what.,that's a good idea.,okay.,can I sit up on your lap.,oh the cat likes to eat the cat.,bird.,he's a dog.,you see a lady and she's holding a tray with a lot of food.,and then there was a toy car and a toy plane.,that's right.,hey.,where did we see this guy.,oh.,oh my goodness I don't know if that's what they're doing.
you wanna go for a ride in the car.,cheese and crackers.,a cat.,bunnies.,right here.,look at the bird.,what.,that's a window.,where's your little bear.,you can have some more.,you're gonna have to watch out.,oh no they're gone.,what's that.,let's make a car.,oh my car's not working.,no.,and then she gets a little older.,I think it's just going to take a little bit of practice to get it right.,look at the kitty.,what's a robin.,do you see the little brown dog.,you know that's a big bowl.,what's that.,what's that.,I mean you could be sitting in a car and if you're really careful and you have your seat belt on you're going to be just fine.,okay.,a cat.,oh that's right.
let's look at the car.,that's a good idea.,see the cat.,what is it.,what's the name of that one.,you know what's in the bird's nest.,a doll.,what did he say.,right.,who's the mom.,that's a hawk.,the cheese is melting.,well that's good.,yeah you can put it on top.,there's a little car in there.,okay here you go.,I'm sorry.,and daddy and mommy and sister.,here you go.,oh what kind of bird.,that's right.,that's right that's right.,you know how to open this.,oh.,"oh, that's a nice car.",what.,oh that's a cat.,yeah he's going to go to bed.
okay.,that's right.,look at the cat.,you're a pretty girl.,oh what a cute little kitten.,and a bird.,you know you have a baby.,yeah it's really really nice.,okay.,so.,and we'll watch the birds fly by.,you want it for me.,oh.,and you're the only one who can turn them on and off.,wanna play with that.,let's put it in the microwave.,oh okay.,and the people.,that's a cat.,he's going to the store.,that's a dog.,and you get a cookie.,I'll get the blocks.,oh a car.,I wanna take a look at your car.,you're right.,where is your cat.,he's a daddy.
car.,let's make some yummy oatmeal.,come on.,what's that.,a bunny hopped on a bicycle.,what is that bird.,he can roll over.,there's a big green chair.,and what do you have in there.,I need a bigger house.,look at that bird.,and we have some carrot sticks and celery.,what's in it.,there's a car over there.,I see you're working on your car.,yeah.,hey what's that.,oh my gosh.,oh you see a cat.,well you can put the birdie back in the birdie house.,no dog.,we'll see.,I'll get your shovel and your sandbox.,they're driving.,it's not a car.,I'll show you.,you can have a nice cat and a nice dog.,oh the trolls that came to see the children.
here.,that's right. birdie.,see the car.,baby cow.,and he's very nice.,do you know where the toys are.,what kind of bird is this.,put the ball in the box.,you're eating your banana.,oh yeah they're not in the box.,they're sitting down.,we should take out some stuff.,do you think I should take it to the mechanic?,oh.,that's right.,can we go see if there's a cat in the shed.,a bird.,what's a cat.,you can put that in your pocket.,you can't take it out.,you know what.,okay.,you gotta pick out a doll or a bear or something.,I can't wait to ride in the car with you.,the kids at school had a birthday party and they made this really great cake and there was so many candles on it that she couldn't blow them all out.,oh that's right.,what's that one.,and the person who has the big house and the big car and the big television and everything.
look at the car.,a bird.,it's a car.,where's the bear.,doggies have legs.,you're gonna need some more.,wanna see the bird.,what's that.,and here's your food.,they're not so big.,oh.,okay.,can you say this.,can we get a picture of the cat for a little bit.,okay.,oh.,that's a very pretty bird.,so when you want to get your cat's attention you should go to the cat and you can say hello to her.,that's a hummingbird.,I see.,I don't know what to tell you.,did you find anything to play with.,and I'm gonna throw it.,let's put the car in the garage.,that's a good one.,well I think he's got it.,there's a blue jay.,and she's not really his mom.
we're gonna go ride in the car.,hey bird.,you can't ride in it.,what do you think.,bark.,okay.,okay.,you can't.,yeah they're good for you.,okay.,oh oh.,and you can have some.,okay.,can you give me the cat.,"a. I'm so sorry.

b. I'm sorry.

c. I'm sorry.",and this is a cat.,you should put the bird on the tree.,oh yeah.,wanna do a dance with the bird.,that's right.,oh there's another car there.,no.,you're gonna get some playdough.,the car starts.,it's a little bit too small for you.,I love you too.,you got a bird in your hand.,did you know that.
