3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
okay.,that's right.,look at the cat.,you're a pretty girl.,oh what a cute little kitten.,and a bird.,you know you have a baby.,yeah it's really really nice.,okay.,so.,and we'll watch the birds fly by.,you want it for me.,oh.,and you're the only one who can turn them on and off.,wanna play with that.,let's put it in the microwave.,oh okay.,and the people.,that's a cat.,he's going to the store.,that's a dog.,and you get a cookie.,I'll get the blocks.,oh a car.,I wanna take a look at your car.,you're right.,where is your cat.,he's a daddy.
car.,let's make some yummy oatmeal.,come on.,what's that.,a bunny hopped on a bicycle.,what is that bird.,he can roll over.,there's a big green chair.,and what do you have in there.,I need a bigger house.,look at that bird.,and we have some carrot sticks and celery.,what's in it.,there's a car over there.,I see you're working on your car.,yeah.,hey what's that.,oh my gosh.,oh you see a cat.,well you can put the birdie back in the birdie house.,no dog.,we'll see.,I'll get your shovel and your sandbox.,they're driving.,it's not a car.,I'll show you.,you can have a nice cat and a nice dog.,oh the trolls that came to see the children.
here.,that's right. birdie.,see the car.,baby cow.,and he's very nice.,do you know where the toys are.,what kind of bird is this.,put the ball in the box.,you're eating your banana.,oh yeah they're not in the box.,they're sitting down.,we should take out some stuff.,do you think I should take it to the mechanic?,oh.,that's right.,can we go see if there's a cat in the shed.,a bird.,what's a cat.,you can put that in your pocket.,you can't take it out.,you know what.,okay.,you gotta pick out a doll or a bear or something.,I can't wait to ride in the car with you.,the kids at school had a birthday party and they made this really great cake and there was so many candles on it that she couldn't blow them all out.,oh that's right.,what's that one.,and the person who has the big house and the big car and the big television and everything.
look at the car.,a bird.,it's a car.,where's the bear.,doggies have legs.,you're gonna need some more.,wanna see the bird.,what's that.,and here's your food.,they're not so big.,oh.,okay.,can you say this.,can we get a picture of the cat for a little bit.,okay.,oh.,that's a very pretty bird.,so when you want to get your cat's attention you should go to the cat and you can say hello to her.,that's a hummingbird.,I see.,I don't know what to tell you.,did you find anything to play with.,and I'm gonna throw it.,let's put the car in the garage.,that's a good one.,well I think he's got it.,there's a blue jay.,and she's not really his mom.
we're gonna go ride in the car.,hey bird.,you can't ride in it.,what do you think.,bark.,okay.,okay.,you can't.,yeah they're good for you.,okay.,oh oh.,and you can have some.,okay.,can you give me the cat.,"a. I'm so sorry.

b. I'm sorry.

c. I'm sorry.",and this is a cat.,you should put the bird on the tree.,oh yeah.,wanna do a dance with the bird.,that's right.,oh there's another car there.,no.,you're gonna get some playdough.,the car starts.,it's a little bit too small for you.,I love you too.,you got a bird in your hand.,did you know that.
look at the car.,look.,car.,hi.,oh you want your daddy to make you a new bed.,what's this.,a parrot.,what's this.,it's a little bit like a doughnut.,who's a monkey.,where is it.,you'll want to have some milk with that.,hey little one.,this is the cat.,oh my goodness.,we got a cat.,you mean like the bird that's in the tree.,you know you're gonna get it off when you come inside.,you see the bird.,we gotta have a little party for your friends.,oh you're in the car.,okay.,you can play with the little guy.,I think she's a truck.,I think you're right.,we're going to go downstairs and we're gonna go to the park and we're gonna play in the playground.,yeah.,you know that's just another way of saying you know that's a new way of saying it.
and then the car goes down the hill.,there's a bird.,oh look at that car.,"yeah, this is a kitty.",who's this.,can you tell me where the baby is.,we'll take a picture.,can you show me how to do it.,we can eat some apples.,do you wanna take them out of the box.,oh.,are you gonna give us some.,you wanna go get another car.,yeah.,I like them.,oh there's a cat in there.,the little blue birdie.,so this cat's wearing a helmet and a seatbelt and a scarf and a hat and a necktie and a tie and some pants.,there's a bird in the tree.,do you want to play with your dolls.,I know you like to go fast.,it's the blue one.,you can put the toys in the box.,and you gotta be very careful about that.,yeah.,and then she's gonna sit on a chair.,they're not big birds.,yeah we'll have a nice day.
that's a car.,little bird.,right there is a car.,here's a big fish.,okay let's get a dog.,there's a family right there.,see the birdies.,who's the one.,well.,the toys.,right.,okay.,no.,it's a cat.,that's a turtle.,oh yes.,I'm going to take you on a little trip with me.,the cat had kittens.,what's that.,okay now let's see if they're still there.,they're a lot of fun.,that's the ball.,and what's this one here.,oh it's a nice little car.,do you remember what it was called.,how's Mommy's hair?,this is the bird's nest.,you go.
oh look at that car.,what's this.,go.,I think you're looking at the lamb.,wow.,okay.,we'll have to wait.,it's a big ball.,mhm.,yeah.,oh.,it's a pineapple.,go right.,oh.,yes he is a monkey.,what's a cat.,well she is sitting down.,the cat's going to the cat's house.,what's that.,oh you have to put them back where they belong.,we're driving.,you're a cowboy.,oh look.,yeah there's a car.,what's that.,and then you got a little brother and a little sister.,and he's holding a little birdie.,it's like a little umbrella.
what is that.,yeah a bird.,it's a car.,where's the caterpillar.,dog.,she's your big sister.,yeah that's a bird.,okay.,mmm.,look at the ball.,oh.,okay.,where's the car.,he's a cat.,well that's a little different.,that's a cat.,a. It's a hummingbird. It's a hummingbird.,and then you can look at your dog.,wow.,we're going to play with this.,oh.,I see.,and what's that.,it's like a train.,and what's that.,I know.,they have feathers on their legs and their tail.,oh that's too big.
that's right car.,hello bird.,go get it.,and they eat the baby animals.,see dog.,who's this one.,oh I see a bird.,and you put them in the box.,oh what's this.,oh it's just another ball.,and he's a baby.,oh let's make it a pizza.,they drive the car and they have to get in the car.,we have a cat.,what kind of animal are you going to put on the table.,yeah it's a nice cat.,it's a blue jay.,and they can go on the roof and play.,oh wow.,we'll take off the box.,you gotta stop.,that's a dinosaur.,yeah.,I'll have to get that fixed.,and she's a little girl too.,well you're the first one to get out and go.,you're a bird.,and we're going to get the cousins together.
look at the car.,you wanna see the bird.,oh okay.,you gotta get out of there.,that's a nice dog.,okay.,look.,you see all of those toys over there.,yeah we can have a little bit of that.,you're going to put them back on the shelf.,yeah I think that's the one.,mashed potatoes.,he's driving a car.,and he goes here.,it's a little bit hard to see because it's not very big.,I know.,and the baby bird has got his wings and he's flying.,well you have to keep him inside.,it's a hawk.,and they're called bumpy balls.,car.,the little red riding hood is gonna see what the wolf is going to eat.,what's that.,where did you put your car.,I'm going to put this down here and we'll get the next one.,you're a good girl.,the bird had a baby bird.,hey.
wow.,it's a bird.,it's a car.,see that pony.,wanna see that.,oh let's see.,you see the bird sitting there.,here.,let's go get something to eat.,wow.,well she's really nice but she's not a good mom.,let's open the can.,can you find the car.,hey what's this.,you're not supposed to do that.,you'll need to get a lot of cat treats.,bird's got a beak.,you want to kiss the cat.,what's that.,what's that.,oh look at that.,this toy.,here's the other one.,car.,what's the difference between cake and pie.,okay.,oh look a bird.,Mommy and Daddy.
you're in a car.,what's that bird called.,we're going to take a picture of that car.,look at the bunny.,here's a little doggie.,and they had the baby.,what's that.,can you put them all on the floor.,can you tell me what you're going to do.,okay.,oh that's really nice.,I'll do it later.,okay.,you gotta go get the cat.,he's gonna eat it up.,oh yeah.,what kind of bird is this.,see it.,you like the duck.,yeah that's a big.,it's a car.,a robot.,and they're both so much fun to play with.,you know how to drive a car.,what are they called.,well then we can go get some ice cream.,he's a seagull.,okay.
you wanna drive it.,here's a bird.,what's that.,you wanna play with that dog.,oh my gosh that's a bunny.,they're all brothers.,and you can say bird.,the toys are for the baby.,look at that one.,you're going to go on the playground.,yeah.,okay.,car and truck.,do you see the kitty in the basket.,and the other one's a little bit bigger.,yeah.,you know how a little birdie lives in a birdie nest.,what kind of cat.,can you think of a bird that looks like a duck.,a robot.,that car has four wheels.,you're not allowed to play with it.,what kind of toys do you have.,oh okay.,it's going to be very good.,okay.,he's a birdie.,oh my gosh.
and here's the car.,there's a bird in the nest.,you gotta keep your hand off the gas.,that's a baby bunny.,where's the dog.,what's in the bath.,that's a chickadee.,oh they're called puzzles.,yeah that's right.,you can do the trucks.,do you know what's that.,you're gonna eat some mangoes.,I'm driving.,okay.,and it's got little white stripes on its face.,the kitty in the box.,uh oh.,oh yeah I did.,and they're all flying around.,okay.,and then.,we'll go back to the car and take the toys out of the car.,what kind of toys are these.,uh oh.,yeah they're good.,okay.,you want to say hello to bird.,I don't think she's here.
look at this car.,that's a bird.,the car goes vroom vroom.,no that's not a panda.,wag the dog.,that's your brother.,it's called a hawk.,oh yeah.,who's eating the hamburger.,you're gonna put the bear and the duck together.,can you put it on your head.,no.,well I think that's the way that you're supposed to do it.,yeah he's a little baby.,yeah.,that's a dog.,bird.,oh he's not really in there.,that's a turkey.,what's that.,hey you gotta be careful when you're driving the car.,yes.,I'm glad you have those new toys.,that's it.,you're going to want to drink some milk after that.,I'm not sure.,he can see the bird.,the kids and the kids and the kids and the kids.
let's go for a car ride.,look at that bird.,oh look at the car.,they have their own teeth.,you see the dog.,mommy.,uhhuh.,what's that.,that's a good idea.,wanna play with the cars.,you know what I mean.,and that's the potato.,you're gonna have a race with that car.,that's a kitty.,and a little frog.,let's see.,that's a parrot.,you want to see this picture.,yeah he's a blue jay.,well.,yeah.,I guess so.,you're putting it on the floor.,oh.,oh I love those.,oh my gosh.,and a dove.,I'm sorry that's not fair.
right.,okay.,it's a car.,and what about this one.,doggie barking.,no.,bird.,right here.,it's just like this one.,and then he can have a car.,let's go see the birds at the bird sanctuary.,no.,it's a car.,you know.,that's right.,it's a cat.,okay.,so then you know what we need to do is make sure we have some more cat food.,what bird did you see.,we can take a break and come back and play.,you wanna go.,okay.,that's right.,well we're gonna take the car to the shop.,a big chocolate chip cookie.,who are they.,what's that bird called.,yeah.
that's a car.,what's this bird doing.,right.,look.,that's a dog.,Mommy.,it's a bird.,let's see if you can find the right one.,and then you can make a nice juicy steak for yourself.,look at those trucks.,we're gonna go to the park and we're gonna go to the zoo.,oh you like it.,look at your toy.,you know who has claws?,you wanna tell me about the animal.,you have a cat.,oh my gosh.,well you know that's not like this.,this bird's called a robin.,and then you can go and get the other ones.,the car is a red car.,let's put them away.,do you want to go play.,it's like a big truck.,that's right.,I see you got a new book.,there's a bird outside.,I'm not.
we're going to go to the car.,look at that.,yeah.,that's a horse.,wanna go and look at the dog.,that's right.,there's a bird on the tree.,that's a doll.,are we going to have a chicken sandwich.,okay.,yeah I'm gonna put that back.,do you think that's enough.,you're gonna make a car out of this.,well if they don't eat them they're just gonna turn into cats.,okay.,yes you're right she's sitting on the counter.,that's a little birdie.,oh cat.,and a duck.,you know what I think we should do.,there's no way they can get through that fence.,that's a baby.,there's a truck.,that's a car.,what is the word.,oh well then we're gonna have a lot of fun.,and the birds are in the sky.,that's a great idea.
you want a car.,bird.,there's a car in the driveway.,it's a lion.,you're a good dog.,she's in the front seat.,can you say bird.,you're gonna make it go boom boom.,you want some more juice.,right here's your toys.,what are you going to do today.,well you can have some more and then I'll give you some.,and it has wheels too.,well maybe they have toys.,you can use your hands.,yeah.,oh my gosh.,here's one more.,they're just like a bird.,you have a lot of stuffed animals.,right.,you can put it on the floor.,right.,that's a car.,you're gonna have a lot of food.,yeah it's very pretty.,oh.,so it's like you're telling us.
he's a big dog.,that's a bird.,come on.,okay.,here's your orange.,it's a goose.,what are you going to do.,this is the dog's house.,yeah it's a cuckoo.,that's a big dog.,oh no.,I'll put it right in the right place.,he's gonna get you.,oh my gosh.,that's right that's right.,I'll just have some bread with butter and jelly.,this is a little cat.,you're gonna put it in the bed.,oh my goodness.,you see this house.,I can't get the toy.,so you're like a grandma.,you can't eat them.,yeah.,"okay, so you know what's on the trunk.",yeah.,we're going to have some fun with our spaghetti.,you know.
a dog.,it's a bird.,I'm going to put it on the floor.,hey.,yes.,what's the kitty saying.,look at my family.,do you see what happened to the dog's paws.,that's a little duck.,okay.,that's a lion.,they're not ready yet.,that's a pussycat.,okay.,this one goes over his head.,where are the carrots.,here's a cat.,I'm going to get you some towels.,you want to sit there.,yeah.,oh the cars are rolling over the top.,we're going to take off the socks and put them in the drawer.,oh she's not a real cat.,you put it on your shelf.,and you can have some.,right.,you're gonna have some more.,see that cat over there.
yeah.,hey bird.,I'm gonna take a walk.,they're for your mouth.,oh yeah.,what's this.,are you going to have a birthday party at your house.,he has a bone.,it's a cardinal.,you can't.,no that's not a bear.,what's that.,and he's just a kitten.,can you tell me what's a robin.,who's that.,I'm sorry.,okay so what does this one have.,it's a nice place to live.,do you have a friend.,a bathroom.,"a. That's a crab.

b. That's a lobster.",okay.,oh my goodness.,oh my gosh.,car.,you can't get it out of the toilet.,oh.,oh I see.
okay let's pretend it's a doggie.,here's a birdie.,do you see the house.,and we're gonna make a funny little sandwich.,no sweetie.,you wanna see what else is there.,"yeah, that's a little girl.",we'll go with the dogs.,no.,you know what we can do with it.,oh.,yes.,the cat is jumping off the couch.,oh what a little bird.,yeah.,yeah.,oh the cat's back.,they have a little couch that's over there.,yeah.,what does that say.,I'm going to get out some stuff for you to play with.,you're gonna make a nice cake.,and the cat's got a hat on.,I'm going to go and get them.,you wanna go ride it.,you wanna make me a cake.,oh what's that.,they're sleeping in the box.
look at the dog.,bird.,yeah.,here's some more juice.,this is a piece of meat.,you're a lion.,we're in the living room.,and then you see them eat the treat.,and then they're just going to be sitting there.,and the dog was barking.,a caterpillar.,here we have this toy.,she's really sleeping.,do you think the chick will lay eggs.,you know what it is.,that's good.,this is a kitty.,the couch.,you're not a baby anymore.,okay honey.,you got a green one too.,okay mommy and daddy.,oh you're a cat.,how does it work.,you wanna see my car.,and the big man in the house.,uhhuh.,you're not hungry.
woo.,oh bird.,that's a table.,we'll have to take it back.,yes.,the rabbit and the horse and the dog and the cat.,look at the clown.,oh he's a little chihuahua.,a bird.,here we go.,who does this.,and we'll have two.,we're not supposed to eat our cat food.,the bird went to the store.,no that's not a cat.,oh that's not very good.,and that's a cat.,I have the little red wagon and I'm going to take the wagon.,you can paint your house with green paint.,okay.,and this is the box for all the toys.,oh I remember when we went to visit grandma in the hospital.,yeah she's a cat and she's a baby cat.,that's a good house.,that car.,yeah.,you can have this piece of bread.,they're cute.
do you want to pet the dog.,yeah it's a bird.,hey.,nope no.,that's not your food.,oh that's a bear.,do you think we can get some new stuff for them to play with.,there's a puppy here.,see.,oh oh that's nice.,that's right.,and the other one is the toy box.,you know what that is.,you know the bird that's a little birdie.,oh you're talking about that pony.,I'm gonna go make you a nice breakfast.,what's this.,and the bed's gotta be up and the blankets have to be on it and the mattress has to be on the bed and then the bed has to be in the room and then you've got to put the bed in the room and then you've got to put the mattress,that's what I said.,oh okay.,yes.,they were playing in the sand.,come and have a look.,I'm going to paint the house.,car.,"and when you're done with your book, let me know.",I'll have a steak and cheese sandwich for lunch.,yeah.
look at the dog.,see a bird.,okay.,uhhuh.,we're gonna eat it now.,we have a couple more.,who are these people.,where's the dog.,there's a bird on the branch.,come on over here.,are you playing with the penguin.,yes.,oh I'm sorry.,that's a duck.,and then you go.,no.,she's a cat.,they don't know they're in trouble.,so they're going to take them out of the box.,and then he's going to go inside.,are there any other toys in the box.,and they're called sisters and brothers.,what about the cats.,well.,go on.,you're going to see what it's like to live with a family.,you got a lot of it.,can you get the cat out.
you're gonna love that dog.,hey bird.,oh it's all dark.,you're hungry.,no.,the big blue whale is a good swimmer.,yeah.,that's a big dog.,oh you got a bird.,that's a baby.,you're gonna want to have some of that.,you see it's a toy train.,you know what a cat is.,the bird's flying.,do you know what's in the box.,that's okay.,do you know that cat.,you should take off your boots.,we're gonna go to the library and read a book.,okay.,can you find it.,what's that.,okay.,no.,let's make a car.,well we're not done yet.,you have a piggy bank.,can you say it.
look at the dog's nose.,what's this bird.,okay.,yeah.,yeah.,look at the ducks.,and they had a cake.,that's a dog.,we'll see.,wanna play with my dog.,see that's the lion and see that's the tiger.,and that's a ball.,let's see.,well there's a bird outside on the window right.,a hawk.,okay.,come over here and see my cat.,and you can play with it.,you know what she does.,here's the kitchen.,you know what I don't know if we can get it at Target.,and Mommy and Daddy and Mommy and Daddy and Mommy and Daddy and Mommy and Daddy.,and the cat has a cat on the cat.,this is where we have the house.,it's a truck.,how many kids does your family have.,it's a pizza.,you wanna read the story of the cat.
goo goo gaa gaa.,and look a little birdie.,what's that.,what's that.,no.,hey look at the duckies.,yeah and she has a little boy.,it's a black and white dog.,look at that.,see the dog's teeth.,what are those.,yeah.,oh yeah you do know what that is.,you're the bird.,that's a little chicken.,no.,oh.,and this is the kitchen.,what are these.,and we'll put your shoes on when we go out.,oh my gosh.,I'm not going to go back to work.,it's really a kitty cat.,this is a house.,the car is going.,it's a nice toy.,what kind of food are you making.,oh we have a cat.
and the doggie goes here.,here's a bird.,we need to clean up this room.,mhm.,and you have a piece of cake.,we're going to get some milk and cookies.,you gonna eat it.,you're a good girl.,you got the birdie.,no.,that's a giraffe.,that's a big ball.,look at that cat.,what bird is that.,did he give him a pat on the head.,it's pudding.,that's a kitty.,yeah I know what you're talking about.,the house.,here's the front door.,yeah.,and we have a new house.,where's the kitty cat.,that's a big house.,you're not supposed to drive the car.,that's right.,and then you can eat it.,that's the cat.
wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow wow,oh a bird.,the house.,okay now.,what's that.,a pig.,where are you going.,that's a big dog.,you see the bird on the branch.,look at the tail.,what's that.,a green ball.,and then you'll get a cat.,I bet he's a really good hunter.,what are you looking at.,yeah we have a taco for the meal.,that's a kitty.,they're not big.,yeah.,and then you turn the light on.,the car goes down the slide.,we're not.,that's right.,it's a bathroom.,you know how to drive a car.,we're going to see if we can see if there's any animals outside.,yeah that's right.,oh so I guess it's time to go home.
what's that.,we'll find some birds.,oh.,no.,look at these cute little piggies.,they're chickens.,yeah.,you like dogs.,there's a bird on the branch.,and she has big teeth.,a kitten.,this is.,and he got all wet.,the little birdie.,yeah.,this is a yogurt.,they're the same.,and then you have to go down there.,that's right that's right.,oh look at that.,what's that.,no.,you want to pet them.,there's a picture of a big house on the front of the book.,yeah.,they have a very nice family.,they're called cheese.,oh look at the cat.
doggy.,that's right.,you wanna look at this.,no you can't have it.,here's a cup of water for you.,this is a caterpillar.,you know what a honey.,he's right in the middle of the ground.,bird bird.,that's right.,is that a cow.,yes that's a purple car.,the cat.,that's a very good bird.,where is the bear.,you can just use a little bit of that.,what kind of cat.,okay we'll call it a house.,yeah you can make a house for yourself.,a carpet.,that's the doll.,she's a little girl.,I love your cat.,this is a bathroom.,oh.,you're gonna take her out to a restaurant.,and the ice cream is very sweet and creamy and chocolate.,it's a kitty cat.
and a big brown bear.,here's the bird.,there's a little room in the house.,what do you have.,we can put it in the bowl.,he's got little feet.,you're gonna have a big baby.,that's a great dog.,no.,you want to talk about what?,oh my goodness.,yeah.,there's one with a bowl of cereal.,we'll go get a bird.,look at that big bunny.,you need to drink some water.,oh look.,how come we're having a house party.,and then the dog gets off.,there's a door on the left.,okay let's see.,you know that's how they know you're a boy.,it's a cat.,you're going to put them on.,okay.,so we're all the same.,okay I'll make you a little something.,a cat's a cat.
huh.,"oh, the birdie's gone up in the sky.",oh the house.,hm.,yes you can eat it.,where's the cow.,okay you got a pony.,it's a baby puppy.,that's a robin.,come on.,they are eating the lettuce.,that's the doll's house.,there's a cat.,yeah.,and the chickens.,you can put it back.,it's a cat.,you can't put the toys in the oven.,you have a big house.,oh look.,okay.,you can help daddy with the garden.,you want a kitty kitty kitty.,we can't sit in here.,you can open it.,no.,no.,oh no.
there's a dog in the yard.,there's a bird.,there's a house there.,do you see the baby carrots.,a lot of food.,that's right.,yeah.,and a dog.,I'm gonna go and I'm gonna go and I'm gonna go and I'm gonna go and I'm gonna go.,yeah.,oh yes.,and you get a new one with a new name.,oh that's a good one.,there's a big bird.,okay.,huh.,what's this.,no.,that's a little different house.,he's putting it in the trunk of the car.,they're on the table.,yeah.,there's a little girl.,what do you like about your house.,oh my gosh.,hey.,no we don't eat this.,right.
wow look at that dog.,bird.,you want the red one.,look at the banana.,it's good.,yeah.,we'll see you tonight.,what's this.,can you draw a bird.,and it's a dog.,and that's a cow.,you have a red crayon.,you see this cat.,they're not the same.,he's not a frog.,you're right.,this is a cat.,oh that's a little different.,that's your house.,and there are a lot of little bugs in the house.,I know.,you and mommy.,a cat is a nice little kitty.,that's where we wash our hands.,oh my gosh.,yes.,I love grapes.,yeah they're both furry.
the dog's a good boy.,you want some seeds.,do you remember what that house looked like.,we're gonna make some pancakes.,and a hot dog.,can we see a dog.,yeah.,wow what is that.,and the bird.,you're like a big dog.,well then what kind of bird is this.,let's go see what we have.,cats are cute.,that's a hawk.,I like the pig.,yeah we'll have a cookie and a glass of milk.,I guess you mean cats.,I'll put the blanket in the bed.,I don't know what you're talking about.,they're gonna be a very big house.,that's a car.,the next one.,you're not gonna play with them.,yeah.,there's a little bit of oil in it.,that's right.,okay you're gonna get the little pieces.,you know what.
