3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
okay.,you're gonna eat some.,and now I'm gonna put my cat on my lap.,well if you wanna play on the floor I wanna go get the crayons.,put this thing away.,that's a beautiful bird.,yeah.,he's sleeping.,you'll have to sit down on the bed and pull the cover up.,what's it called.,oh my goodness.,you're not eating your cereal.,you know how to make a good salad.,a little dog.,a cat.,you can make up a whole bunch of different things.,and she's the girl.,who's your uncle.,you wanna eat the rabbit.,that's a little house.,I'll get the broom and dustpan and then we'll sweep the floor.,you're going to go ahead and get in the car and drive down the road.,yeah.,wow.,she's cute.,it's your favorite show.,well there's this thing here it's called a grill and you use that for grilling you know like grilling hamburgers and all that.,hey there.
I see a house.,yeah.,you know it's the cat.,what's this.,oh there's your room.,and this is a bird.,that's a hawk.,I got a new dog.,I think it's the back.,yeah.,"oh, oh.",you can do that.,a pizza slice.,you have a dog.,you wanna see some cats.,car.,what kind of dog do you like.,so we were going to take them to the doctor's.,yeah they're cute and they have two tails and they're really fluffy.,there's some tiles there.,the wallpaper.,you go in.,it's a tiger.,can you find the bird.,he's really good.,can you say cat.,no I want to eat the chocolate ice cream.,here we go.
"oh, oh look at the houses.",I know you wanna play with those.,cat.,can you say.,oh.,that's a bird.,a bird.,where did the dog go.,who's the guy that's putting on the show.,hey baby.,it's okay.,it's a taco.,huh.,that's a dog.,well he likes to be up here.,it's a car.,they go and they go and they go.,and then he went back to New York.,what kind of animals.,yeah you're right.,whoops.,yeah.,okay.,oh.,I'm not sure what you're trying to say.,the kitty is in the cage.,okay.,oh my gosh.
there's a house.,let's put some more in.,yeah.,it's a mommy.,yeah we're gonna build it.,you like birds.,what is that.,where's the dog.,that's what it's called.,you know what he does.,they're like.,well then you're right.,that's a nice apple.,yeah.,look at the cat's eyes.,there's a car in the garage.,oh.,no it's not a baby.,I was watching a movie.,yeah.,oh that's so fun.,there.,the baby rabbits are having a party.,and then they fly away.,what do cats like to eat.,we're going to play with a cat.,and how come we don't eat them.,where did you put that.
oh my goodness.,who's this.,you know.,that's my mommy.,and I like to walk in the rain.,there's a bird.,wow that's a big bird.,look at the dogs.,oh we're going to be outside in the yard and then we're gonna be inside.,we need to fix the door.,you know what? it's not a toy.,that's a chicken.,it's a little bit crunchy.,yeah.,and then he puts his paws on it.,that's a car.,what's your name.,how about that.,and the caterpillar turns into a butterfly.,what's this.,let's get it back in the house.,you have a red car.,no.,"a. I'm gonna play with it now.
b. I'm gonna play with it now.
c. I'm gonna play with it now.
d. I'm gonna play with it now.
e. I'm gonna play with it now.",oh what's the cat doing.,we're going to sit on the bed and we're gonna watch a movie about the cat.,here's a peanut.,that's a little teddy bear.
we're going to be here a little while.,where's the teddy bear.,oh look at that kitty.,yeah.,he's got a blue hat on.,that's a duck.,oh wow.,okay.,yeah.,come on over here.,there's a dog in the house.,can you pick up the cookie for me.,I think they're yummy.,wanna look at this.,he's a big cat.,oh that's right.,that's a dog.,yeah.,what's that.,you have a house.,yeah there's the door.,and we're going to be in a car.,he's a very big elephant.,see the birds on the telephone wires.,it's a very good cat.,there.,what did we have for dinner.,and they're all different colors.
okay.,who's in there.,yeah.,they look like.,cat.,you wanna play with the dog.,see the doll.,oh my gosh.,yes.,what bird is that.,yeah.,that's right.,and then we'll get out of the car and go for a walk.,okay.,he has a nice big couch.,where's the cat.,did you go to your friend's house.,that's a parrot.,we're gonna go and see if we can find him.,okay.,can you put the cat in the box.,oh that's a big one.,a blue car.,you're going to see the giraffes.,I'll be right back.,oh my gosh.,it's your kitty.,you've got a pepper.
I'm sorry.,go see the people who work at the house.,there's the door.,I'm going to put some cereal in the bowl.,there's a kitty.,go ahead and go to bed.,okay.,and now we're gonna go in the house.,oh look at the kitty.,there are three little ducks and the little duck went out one day.,there's a good deal of it.,I got it.,yeah.,what else do you have.,the house.,oh my goodness.,no she's my baby sister.,oh.,what's the name of that place.,yes.,what did the cat do?,this is a rooster.,oh yeah.,he is eating.,okay.,oh wow.,you see the dog.,I can't eat my food.
oh.,who's that.,and now the house is full.,yeah.,that's right that's right.,go and get the dog.,and there's another car.,I'll have a cup of tea.,oh.,that's a little baby bird.,oh that's okay.,I'm sorry.,he's driving the car.,I think that's a tire swing.,I'm gonna show you something.,and then a cat comes out and starts chasing it around.,I'm not going to take a picture of you because I want to see your face.,oh we've got a bird.,oh yeah.,I think you'd like the chicken and potatoes and the stuffing.,and then they had a little baby cat.,that's right.,okay.,you can put them in your pocket and you can carry them in your pocket.,yes it is a cat.,you have to be careful with the truck.,it's a black and white dog.,right.
go get the ball.,it's not a car.,that's right that's the house.,the cereal.,I'm just going to say it.,and the dog.,see the ball.,you wanna play with the trucks.,a cat.,he's a little bird.,that's your mommy.,yeah.,and we can go down to the mall.,here.,yes.,yeah.,no.,a baby bird.,what's her name?,well you're getting pretty good at it.,yeah that's right.,well that's very important and you know what else is very important in the world.,okay.,that's a horse.,we'll have to put them back in the cage.,yeah you can drive that car.,oh there's a dog.,you can get some more.
look at the house.,there's a house.,there's a chair.,a hamburger.,yeah you know what's cool about cats and dogs.,what's the dog doing.,and then I can see the train.,you can't eat that.,this is a cat.,what's that bird's name.,you got a good bite of that one.,well you'll go to the bathroom and come back and then you can eat some more food.,yeah.,what's that.,oh hey.,so if you wanted to look at a picture of a cat that's what you would do.,can I ask you something?,we're going to go and have some pizza.,well if they can't afford it they'll go into the food pantry.,can we make a little snack.,the cat's fur is soft.,I'm thinking about animals.,do you wanna go outside.,okay.,we're gonna get some ice cream right now.,and the wheels spin and they go.,that's right.,so she was able to see what was in the cupboard.
let's go in the house.,oh that's my little house.,that's a house.,yeah he does.,what's a cat.,that's a puppy.,oh that's a piggy bank.,it's a bed.,oh this is what the cat looks like.,uh oh.,no that's not.,let me get that for you.,you're gonna take me to the park.,where's the truck.,did we have any animals in the house.,here's some cat food.,I'm gonna put your backpack on.,you don't wanna eat it.,yeah that's the best thing about being a family.,and then you take it out and then you put it back in and then you open it up and you put the milk in and then you close it and it's ready.,that's a cat.,hey hey.,and now we're going to the car.,that's a dog.,I see a bird.,and they go on the road to the store.,he's a good boy.,I'll make some.
there's a nice house.,here's some milk in the kitchen.,you see.,can you get the food for me.,yeah cat.,what's this.,that's a ball.,what's the thing on the wall that goes.,hey cute little kitty.,what is that?,a mashed potato.,okay.,the car is not working.,oh the ball.,we need to get to the grocery store.,let's have a drink of water.,yeah.,and you're a bird.,we can get some chocolate chips from the store.,no.,do you know where a cat goes when it gets tired.,hey we have a bunny rabbit.,you wanna go for a ride in your car.,I'm not gonna go.,yeah.,well I guess we can't go.,I'm gonna put them together and make the dog.,oh we have corn.
go up the stairs.,what is that.,it's the house.,no no you're gonna get a stomach ache.,a big black cat.,here's the kitty and the dog.,we'll get you a little toy.,do you want the house to be.,and the cat said.,there's a bird on the tree.,and they're so good for you.,do you want to have a drink of juice.,you know what.,oh.,and we go out and play.,you're gonna have a little cat for Christmas.,I'm gonna show you.,yeah.,you can do it.,you can get them out.,and the cat's on the table.,there's a cow.,you have to make sure you have a little bit of gas in the car.,well that's right.,we're gonna learn about animals and their names and what they eat.,you want a truck.,what did you say.,yeah I think you're right.
here's the bedroom.,oh look what a house it's very pretty.,oh no it's all over.,we have corn.,that's a cat.,you say dog.,see.,okay we're going to make a little house for you to put your baby doll.,and then.,you wanna hold him.,we have chicken.,well they are all cooked.,and then you can take a nap.,yes.,no.,you know what he's gonna do.,I'm going to give them a hug.,he's not looking for it.,I'm so sorry.,well what about the peas.,wanna go for a walk.,oh you're a little bird.,go get in the car.,what's the difference between them.,see the little red rabbit.,can you see the car.,it's a dog.,where's your plate.
you see the door and the window.,hi there.,I'll go and get a blanket.,the oven's on.,he's a cat.,do you see the doggy.,you see what's on top.,okay.,come here.,that's a woodpecker.,and we'll put on a dress for you too.,it's going to be a big surprise.,well let's get some more gas so we can go for a ride.,okay.,do you have a house.,you like cats.,and he has a little brother.,you wanna look at the bird.,did we play that game.,it's a cupcake.,that's a kitty.,that's a good idea.,this car.,okay.,oh we can get the fish.,and then we'll go see a movie.,there's another one.,you put it in the pot and put it on the stove and it makes a pot of soup.
oh yeah.,oh where's the house.,let's make the bed.,I guess you're done.,look at the cat.,you wanna put the ball back.,they're just right.,let's find your toy.,you're right.,little birdie.,I don't know.,what did you have for dinner tonight.,uh huh.,this one's a train.,you're gonna want to sit on the sofa.,can you say cat.,okay.,they're birds.,Mommy went to the movies.,how about a little bit of butter.,we're going to the beach.,you see a cat and a bunny.,you're going to make a stop sign.,that's right.,you're right.,well we're going to go to the car show.,look at the dog's ears.,well it's like this.
it's called a bedroom.,and the house is on the hill.,yeah.,let's eat it.,yes.,what do you do with your dog.,what is that.,you're right.,okay.,he's a woodpecker.,and then we'll eat some popcorn.,I'm gonna get a spoon.,and then go in the car.,what's the name of this one.,okay.,and this is a picture of a cat.,I guess we can just stick with the people we already know.,this is a hawk.,do you wanna watch a movie with us.,yeah.,we have to go to the vet.,they're all kinds of animals.,and the car.,you have three cats.,yes.,oh my.,they were so small.,you're eating them.
house.,and you know what the house is called.,you can put it in the box.,I think he's making his bed.,the cat's back.,that's right.,that's a bunny.,oh yeah.,it's a cat.,wanna give him a kiss.,yep.,what is this.,and the tires.,a doll.,that's not in the house.,where's the kitty kitty.,yeah.,oh he's a really big rooster.,oh well I'm going to take a bath.,I'm going to get the ice cream.,and then the cat jumps up on the table.,what's the name of the animal.,okay.,and then what happened.,that's not a horse.,okay okay.,you want some milk for the dog.,okay.
you've got a house.,that's the kitchen.,oh look at the carpet.,what are we going to eat.,do you wanna see the cat.,do you see the dog.,where's that little red ball.,that's a chair.,oh it's okay.,you know.,no that's not the right spoon.,you can't eat it.,oh car.,oh look at this.,what's this.,what's the cat doing.,we can't play with them.,he's a beautiful bird.,you're right.,we have cheese.,that's a nice cat.,right.,see the wipers.,and then they eat the animals.,okay.,well I guess it is the car.,it's a dog.,the bread has crumbs.
it's a house.,and it's in a house.,what's that.,do you want some more.,come here.,and what about the dog.,here's your truck.,okay.,you got a kitty cat.,what's that.,we'll have a little bit of mushroom soup.,okay.,and there's the engine.,hey let's get all the toys out of the box.,you can put it in there and it'll stay there.,there.,and then she was so mad at me.,do you like birds.,right.,what's that.,cats are animals.,he's a little monkey.,we're going to get a car.,you can put it in your mouth.,that's right.,they drive.,right.,yes.
house.,this is a house.,do you see any other houses.,yes we can make it.,I'm going to read a book.,and the baby.,you can have one.,yeah.,and the cats were cats.,it's a bird.,a pizza.,I have a cookie and I'll give you one.,look at this car.,this is a good one.,okay.,and then she goes out the door.,oh yeah.,oh yeah.,you can play with a little ball.,okay.,oh yeah.,that's a horse.,yeah.,oh.,you wanna see the fishes.,and a car.,you think you're a dog.,I'll give you the cereal.
this house is a good house.,go to bed now.,okay.,we need some milk.,oh it's a cat.,see the dog.,look at the trains.,that's a house.,she's in her bed.,it's a bird.,is it a waffle.,that's not a cereal.,yeah.,okay.,we have the door.,what's the cat doing.,it's Mommy's.,he's a crow.,she's not home.,yeah.,what's that?,it's a tiger.,oh.,okay we'll go to the zoo.,I don't have a dog.,you're a big kid now.,oh you're having a dog in here.,what's on the plate.
there's the door.,oh.,you have to push it in a little bit.,they're pink.,see the cat's paws.,you wanna see a dog.,it's the red one.,okay.,that's a pretty nice cat.,what's that.,can we have some more milk.,yeah it's the same thing.,do you like cars.,you're right.,you put your toys in the toy box.,that's a cat.,I don't think it's very nice to leave things out when you're not here.,you know what a gull is.,no we don't have a dog.,you know what it is.,and they're going to play ball.,okay.,that's right.,what's the difference between a turtle and a snail.,we can go to the zoo tomorrow.,that's a car.,I have a dog.,that's not a carrot.
what's this.,there's a lot of stuff in there.,we're going to the house.,yeah.,you can sit on the couch.,oh you want to hear about my baby dog.,where are they.,what do you see.,he's got the cat.,what's that.,it's all right.,what's in it.,I think he's going to take him to the shop to fix the tire.,"oh yeah, it's a toy.",they're right by the door.,we can't have a cat.,that's the baby.,what's that.,you go to grandma's house.,well we're going to be really hungry.,so I'm going to get you some food to eat.,they were very small.,you're not gonna need your seatbelt.,that's a piglet.,you're going to need to go in the car.,that's a motorcycle.,yeah.,yeah.
it's house.,okay.,let's go look at the house.,you can't have a cookie.,oh yeah.,what's the dog's name.,oh.,you wanna turn the page.,huh.,oh bird.,that's the best thing ever.,hm.,it's a cool car.,it's a little too big for you.,oh yeah.,this is a kitten.,oh they're so cute.,look what I found.,did she go to school.,okay.,and she's like he's playing with it.,okay.,it's a car.,the rabbit's jumping around.,wanna take her outside.,there it is.,the dog has his tail up in the air.,they're like tiny pieces of chocolate.
okay.,who's in there.,yeah.,they look like.,cat.,you wanna play with the dog.,see the doll.,oh my gosh.,yes.,what bird is that.,yeah.,that's right.,and then we'll get out of the car and go for a walk.,okay.,he has a nice big couch.,where's the cat.,did you go to your friend's house.,that's a parrot.,we're gonna go and see if we can find him.,okay.,can you put the cat in the box.,oh that's a big one.,a blue car.,you're going to see the giraffes.,I'll be right back.,oh my gosh.,it's your kitty.,you've got a pepper.
wow.,what's that.,yeah.,what's that.,here's a little car.,a duck.,that's a birdie.,it's my friend's house.,I guess you can go in the car and sit in the car.,here's a little toy.,what kind of cat is this.,hey.,you are eating.,you can't get him out of the cage.,that's a sparrow.,right.,let's play with the trucks.,you know.,I can put the blocks in a box.,what are they doing.,where's the fish.,yeah they're your friends.,you can drive it.,I don't know.,and it's called.,you could eat this.,okay.,we're gonna sit on this bench and watch the birds.
cows eat grass.,no.,here's some oatmeal for you.,what kind of animal is that.,where's the toy.,what's this.,that's a cardinal.,what kind of house do you have.,that's a car.,that's right.,oh oh.,you don't have any birds in your house.,I think we're done.,you wanna have the dog come back in.,it's a parakeet.,no no no.,you're the good guy.,and they're just like cats.,I'll get them and put them in the box.,this one's a little car.,we have the cow and the horse and the pig.,it's the first time that's right.,oh my car.,you're not supposed to eat them.,look at the car.,what do you wanna do.,oh that's good.,that's a robin.
can you say tiger.,uhoh.,no.,it's a cat.,what's this one.,do you like your toys.,wanna put the bird back on the tree.,you gotta wash the laundry.,they're like cars.,yeah.,look at this.,he's a hummingbird.,what's that one.,oh good dog.,you're right.,they're very important.,that's a good idea.,that's right.,see that.,and they're just a little bit too big for this one.,hey Daddy.,well you can give them to Daddy.,you know what we're going to do with that car.,he said he didn't have any.,they're really big.,we're going to have some good ole southern peas.,the car is going.,oh yeah.
you see that cat.,mhm.,no no no.,that's a horse.,the dog.,oh no.,what kind of bird is that.,they're my dad's toys.,and we'll go in the car.,that's a bear.,you can't go in the water.,you're a bird.,no honey.,no.,can you say bird.,that's right.,I'll make a big pile of things.,wow you're a nice kitty.,you're a good boy.,wanna play with that.,this is a pig.,it's just the two of us.,they drive.,what's that.,do you know what this is.,so you gotta do it for the next two days and then the next two days and then the next two days and then the next two days.,I don't see it.,this is a baby chicken.
a bear.,what is it.,yeah that's a banana.,kitty.,I see a cow in the car.,see the little ducks.,what's a robin.,yeah.,and here's a car.,yes.,what's your cat's name.,there's a bird in a tree.,I'm gonna make you some delicious pancakes and put some chocolate chips in them.,I think that's a good one.,this bird is a little bit different from all the others.,you have to let your baby come up and sit on your lap.,let's go play.,here it is.,yeah.,what else.,there's a baby cow.,"oh my gosh, I'm not in my house.",that's right.,do you think it's a lion.,well what kind of game are you playing.,you're gonna be in trouble.,this is a car.,we're gonna go back to the library.
here's a bunny.,yeah.,you have some water in there.,where's the bunny.,here you go.,see the ball.,bird's on a bird's nest.,yeah.,it's so fast.,what's this.,they're not.,you see those birds.,and that's some tofu.,this is a dog.,you're holding a bird.,I think you were born in the summer.,oh.,he's not very good at that.,what's this.,you have a little car.,and then the kittens.,you can't leave the dog alone in the house.,you need to change the oil in your car.,and what does a moose say.,yes that's a doll.,okay.,I gotta say that's my car.,that's a dove.
a bird.,let's put some milk in it.,yeah that's right.,yes.,there's a big blue ball.,"oh, oh.",he's a bird.,that's a door.,oh what is that.,this one.,okay.,oh that's a bird.,you have it here.,you don't have to say the name of the dog.,what's that.,I think that's what she's wearing.,okay.,oh my gosh.,what are these.,I don't know.,and the cat and the dog are in the backyard.,okay.,you get in the car.,you wanna go eat.,I'm gonna put that back on the shelf.,there's gonna be.,we're gonna put on some air in the tires.,you can get it from the zoo.
we're going to go to the zoo and see the elephants.,that's right.,we need to go to the supermarket.,yes they're a bird.,wow.,what's that.,a bird.,we're gonna have a house party.,come on let's get in.,oh yeah.,what's that.,what's that one.,you're right.,oh I see that's a kitty.,the blue jay.,I think I'm going to go to the library and I'm gonna check out some books.,that's a little boy.,you know what he is.,you're going to get the blocks now.,you know what to do with them.,it's just a little one.,okay.,they're not here.,they're called a panda.,it's a soccer ball.,no.,oh it's okay.,and then we can go and put the bird back in the cage.
that's a dog.,we're gonna have to eat a lot today.,you know what's good for that.,look at the baby rabbit.,we can put them back on the shelf.,hey baby.,uhhuh.,you know what they're going to say.,the car's a yellow.,here.,yeah that's a cat.,it's a hawk.,no.,it's not.,that's right that's a bird.,you're right.,he's not gonna go in there.,oh yeah they eat them.,you know what I mean.,you're right.,look at this one.,okay.,and the cars go back and forth.,yeah.,the bunny was the bunny that was the bunny that was the bunny that was the bunny that was the bunny that was the bunny.,how come you don't like it.,I think it's a car.,here's a sparrow.
here's a bunny.,it's a little bit too hot.,wow.,no.,okay.,I'm gonna put the blocks on the table.,look at the bird.,oh look at this.,yeah.,do you think I should take out the blocks.,oh there is another cat.,there's a bird.,and then he made some pizza.,oh.,oh that's a bird.,no she's not your sister.,we're not going to play with those.,oh yeah that's a cat.,look at the pig.,the little green guy that's kind of a worm.,I love the lion.,we'll go to the zoo.,he's driving.,that's a sheep.,okay let's put the ball away.,that's right that's a piece of fruit.,look at the car.,there are these birds that sit in trees.
oh what a beautiful bird.,I see.,you know how you can eat them.,yeah.,where's the other one.,right.,yeah.,you wanna give me a hug.,oh.,let's see what he's doing.,he's not a cat.,you know.,they're in the oven.,I think so.,that's right.,oh my gosh.,yeah.,you can't feed them.,that's not a toy.,this is the best toy ever.,you wanna sit on your lap.,that's so nice.,wanna go for a ride in the car.,what's this?,can you get it.,I got it.,this is a car.,oh I know that.
what's that.,mmm.,peas.,oh.,a. yes.,are you going to pick up that toy and give it to me.,uhhuh.,yeah we have a little house and it's pretty cool.,look at that truck.,what's this.,yeah.,can you say bird.,I think you're doing a good job with your veggies.,and then she went and went to her sisters house and then she went and played with her little brother and then she went and had a sleepover.,oh they're like a little bird.,yeah.,the toy.,oh yeah.,you wanna put them back.,do you wanna play with this one.,you wanna look at them with me.,oh my.,uh-huh.,do they have a tail.,oh.,it's a muffin.,oh.,a bird.
do you want to look at the picture book.,no spoon.,mmm.,there's a bear in the house.,that's not a ball.,oh they're in the box.,a big big bird.,wow we have a new ceiling in the living room.,that's a bus.,I mean a doll.,can you give the cat some cat treats.,no you put it in a bowl of water.,you can have it.,he goes to the bathroom with the dog.,hey look over there.,and now that's your mommy and daddy.,uh huh.,and a cat.,you're going to have to be quiet and then you can play with it later.,no.,they're both very cute.,and he's really happy to see his granddad.,they're driving the car and the car is on the road.,a moose.,you want to play with them.,huh.,and if they were moving it'd make a noise.,okay.
see the ducks.,what do you want.,where did we put it.,a bunny.,that's a clown.,hey.,yeah.,let's go to the toy room.,uh oh.,that's not your toy.,there's a cat.,look at the bluebird.,I'll give you some more water.,yeah.,and this bird.,who's that.,hey.,the cat goes.,here's the car.,do you remember that red clown.,yeah.,I'll go get you some.,they go.,it's a dog.,right here.,how's the bread.,well let's go outside.,that's right.
what's that.,yes.,that's right.,yeah.,I'll put this in the truck.,who's that.,that's a bird.,the little house in the little woods.,you're a very good driver.,that's right.,and here's the cat.,that's a bird.,and it's a peanut butter and jelly sandwich.,do you see the dogs.,yeah I know that one.,I mean we're family.,oh.,oh I see.,and this one's a lion.,can you find them all.,okay.,oh you're right.,what's that?,right here.,I'll get it for you.,uhhuh.,oh a car.,this is a bird.
oh good.,you're gonna like the baby food.,there's the peas.,yeah.,you got a bunny.,they're bouncy.,there's a bird.,look at the kitchen sink.,you know what.,put the bear back on the shelf.,you put them in your pocket.,we'll go see if there's any eggs under there.,a piece of bread.,you wanna go outside and play.,there's a robin on the tree.,you know what.,you know that game.,the cat.,yeah.,you're getting up to.,oh what a big rabbit.,I think you're getting a little bit of a headache.,okay.,you know what a wolf is.,yeah they're little guys.,a slice of pizza.,and they take you on vacation.,oh you got a really nice bird.
oh look at the bear.,oh no.,this is a pencil.,bunny rabbit.,what's that.,you can put it on your lap.,the birdies.,put it on the dresser.,I'll get it out for you.,well what else do we have here.,that's the cat.,what kind of bird is that.,what's this.,that's a nice dog.,a bird.,oh.,it's the car.,right now there's a little kitten in the cage and the kitten has a long tail and the kitten has a little white spot on its chest.,and the toy boat.,it's just like the other two.,I bet they're just trying to say hi.,right.,yeah.,that's a big bunny.,and it's a car.,okay let's eat.,okay.,okay you can do that.
can you see the birds.,you're not gonna eat the yogurt.,you're going to eat some grapes.,that's a rabbit.,let's put your shoes on.,go look.,that's a bird.,let's play house.,you wanna see the car.,the car.,we'll get you.,hey.,it's a nice cake.,this is your dog.,oh.,we're gonna do a special thing for Grandma and Grandpa.,here.,that's a cute cat.,yeah.,you're right.,and we'll go for a swim.,and the other one.,okay.,that's the pig.,I love it when you play with your trucks.,we're gonna have dinner.,it's a red car.,what's that.
it's a baby.,peas.,it's a pizza.,yeah.,can you say block.,no.,oh birdie.,that's a chair.,see the car.,we gotta put it back.,and a cat.,bird.,there's the bowl of soup.,that's a great idea.,what's the bird doing.,you know what's funny.,a ball and a little car.,she's a cat.,okay so we're going to put the blocks back.,what's your favorite toy.,they have four legs.,okay.,I don't see any car.,okay.,this is a doll.,it's not for you.,and we have the car.,oh that's a duck.
a caterpillar.,I'm making some pumpkin pie.,okay.,you're sitting on a crab.,yes.,this is a clown.,little birdie.,okay.,we're going to go get the car.,where's your dinosaur.,what's that.,oh I see a bird.,yeah.,yeah.,you like birds.,yeah.,they're not in that box.,that's right. that's a cat.,they're called doll houses.,oh yeah.,I'm not sure what the kids are doing.,okay.,I'm going to put this on the car.,where's the bear.,you know what's funny.,that's not a carrot.,wow.,it's a robin.
wow.,what's that.,yeah.,what's that.,here's a little car.,a duck.,that's a birdie.,it's my friend's house.,I guess you can go in the car and sit in the car.,here's a little toy.,what kind of cat is this.,hey.,you are eating.,you can't get him out of the cage.,that's a sparrow.,right.,let's play with the trucks.,you know.,I can put the blocks in a box.,what are they doing.,where's the fish.,yeah they're your friends.,you can drive it.,I don't know.,and it's called.,you could eat this.,okay.,we're gonna sit on this bench and watch the birds.
